manual_keys,index_column,en,cs,fr,de,generated_keys,best_match_performed,best_match_found,en_copy,best_match_matchedTranslation,best_match_rating,best_match_keys,best_match_in_not_found
dict.talents.flexible.tips.2,,2. Try to seek work which isn't routine and where you can maximize your talent of adaptability.,"2. Zkuste hledat práci, která není rutina a kde můžete maximalizovat svůj talent přizpůsobitelnosti.",2. Essayez de chercher du travail qui n'est pas routinier et où vous pouvez maximiser votre talent d'adaptabilité.,"2. Versuchen Sie, eine Arbeit zu finden, die nicht routinemäßig ist und bei der Sie Ihr Talent zur Anpassungsfähigkeit optimal einsetzen können. ",,Performed,Found,2. Try to seek work which isn't routine and where you can maximize your talent of adaptability.,Try to seek work which isn't routine and where you can maximize your talent of adaptability.,0.987012987012987,dict.talents.flexible.tips.2,
dict.talents.flexible.tips.3,,"3. When in a group setting you may encounter a situation which changes suddenly, you'll use your talent to cope with it easier than other members of the group.","3. Když ve skupině narazíte na situaci, která se náhle změní, použijete svůj talent, abyste se s tím vypořádali snadněji než ostatní členové skupiny.","3. Lorsque vous êtes en groupe et que vous faites face à une situation qui change soudainement, vous utiliserez votre talent pour affronter cette situation plus facilement que les autres membres du groupe.","3. Wenn Sie in einer Gruppe mit einer Situation konfrontiert werden, die sich plötzlich ändert, werden Sie Ihr Talent nutzen, um damit leichter fertig zu werden als andere Mitglieder der Gruppe.",,Performed,Found,"3. When in a group setting you may encounter a situation which changes suddenly, you'll use your talent to cope with it easier than other members of the group.","When in a group and you encounter a situation which changes suddenly, you'll use your talent to cope with it easier than other members of the group.",0.9243027888446215,dict.talents.flexible.tips.3,
dict.talents.flexible.tips.4,,"4. You will be a good leader if you build trust and loyalty in your environment, people will follow you with the expectancy that you'll succeed in turbulent times.","4. Budete dobrým leaderem, pokud si ve svém prostředí vybudujete důvěru a loajalitu. Lidé Vás budou následovat s očekáváním, že v turbulentních dobách uspějete.","4. Vous serez un bon leader si vous renforcez la confiance et la fidélité dans votre environnement, les gens vous suivront en espérant que vous réussirez dans les situations turbulentes.","4. Sie sind eine gute Führungspersönlichkeit, wenn Sie in Ihrem Umfeld Vertrauen und Loyalität aufbauen; die Menschen werden Ihnen in der Erwartung folgen, dass Sie auch in turbulenten Zeiten erfolgreich sein werden. ",,Performed,Found,"4. You will be a good leader if you build trust and loyalty in your environment, people will follow you with the expectancy that you'll succeed in turbulent times.","You will be a good leader if you build trust and loyalty in your environment, people will follow you with the expectancy that you'll succeed in turbulent times.",0.9924812030075187,dict.talents.flexible.tips.4,
dict.talents.flexible.tips.5,156,"5. Try to avoid activities which are constant and need structure, these will frustrate you very fast.","5. Snažte se vyhnout činnostem, které jsou konstantní a mají jasně danou strukturu. Takové věci Vás mohou hodně rychle frustrovat.","5. Essayez d'éviter les activités répétitives et qui ont besoin de structure, celles-ci vous frustreront très rapidement.","5. Versuchen Sie, Tätigkeiten zu vermeiden, die konstant sind und eine Struktur brauchen, denn diese werden Sie sehr schnell frustrieren.",,Performed,Found,"5. Try to avoid activities which are constant and need structure, these will frustrate you very fast.","Try to avoid activities which are constant and need structure, these will frustrate you very fast.",0.9879518072289156,dict.talents.flexible.tips.5,
dict.talents.analyser.tips.1,,"1. Consider partnering with someone who can push things through productively and take action, you'll complement each other, well.","1. Zvažte spolupráci s někým, kdo za to umí vzít a dokáže věci produktivně prosadit. Velmi dobře se tak doplníte.","1. Envisagez de travailler avec quelqu'un qui sait prendre les devants et fait avancer les choses, vous vous compléterez parfaitement.","1. Ziehen Sie eine Partnerschaft mit jemandem in Betracht, der die Dinge produktiv vorantreiben und Maßnahmen ergreifen kann; Sie werden sich gut ergänzen.",,Performed,Found,"1. Consider partnering with someone who can push things through productively and take action, you'll complement each other, well.","Consider partnering with someone who can push things through productively and take action, you'll complement each other, well.",0.9908256880733946,dict.talents.analyser.tips.1,
dict.talents.analyser.tips.2,,2. Avoid aggressive arguments while using your knowledge of data to help in building positive relationships with others.,"2. Vyvarujte se agresivního prosazování svých argumentů, které se opírají o Vaše znalosti a získaná data, abyste tak mohli budovat pozitivní vztahy s ostatními.",2. Évitez les arguments agressifs qui reposent sur vos connaissances de faits afin que vous puissiez établir des relations positives avec les autres.,"2. Vermeiden Sie aggressive Argumente und nutzen Sie Ihr Wissen über die Fakten, um positive Beziehungen zu anderen aufzubauen.",,Performed,Found,2. Avoid aggressive arguments while using your knowledge of data to help in building positive relationships with others.,Avoid aggressive arguments while using your knowledge of data to help with building positive relationships with others.,0.9509803921568627,dict.talents.analyser.tips.2,
dict.talents.analyser.tips.3,,"3. Other people see you as a logical person, it gives you a chance to build trust with people close to you.","3. Ostatní lidé Vás vnímají jako logické osoby. To Vám dává šanci vybudovat si důvěru s lidmi, kteří Vám jsou blízcí.","3. Les autres vous perçoivent comme une personne logique, cela vous donne une chance d'établir la confiance des gens proches de vous.","3. Andere Menschen sehen in Ihnen einen rationalen Menschen, und das gibt Ihnen die Möglichkeit, Vertrauen zu den Menschen aufzubauen, die Ihnen nahe stehen.",,Performed,Found,"3. Other people see you as a logical person, it gives you a chance to build trust with people close to you.","Other people see you as a logical person, it gives you a chance to build trust with people close to you.",0.9880952380952381,dict.talents.analyser.tips.3,
dict.talents.analyser.tips.4,,"4. Even seemingly ""proven facts"" may not be true, try to be critical about what others say, try to get information from various sources, and be careful what you prove as fact to avoid embarrassment :-)","4. Ani zdánlivě „osvědčená fakta“ nemusí být pravdivá. Pokuste se proto být kritičtí ohledně toho, co říkají ostatní. Zkuste si získat informace z různých zdrojů a buďte opatrní, co prokazujete jako skutečnost, abyste se případně vyhnuli rozpakům.",4. Même les « faits prouvés» peuvent ne pas être vrais. Essayez donc de prendre du recul sur ce que disent les autres. Essayez d'obtenir des informations provenant de différentes sources et faites attention à ce que vous définirez de vrai afin d'éviter l'embarras.,"4. Auch scheinbar ""bewiesene Tatsachen"" können nicht wahr sein. Versuchen Sie, kritisch zu sein, was andere sagen, versuchen Sie, Informationen aus verschiedenen Quellen zu erhalten, und seien Sie vorsichtig, was Sie als Tatsache beweisen, um Peinlichkeiten zu vermeiden :-)",,Performed,Found,"4. Even seemingly ""proven facts"" may not be true, try to be critical about what others say, try to get information from various sources, and be careful what you prove as fact to avoid embarrassment :-)","Even seemingly ""proven facts"" may not be true, try to be critical about what others say, try to get information from various sources, and be careful what you prove as fact to avoid embarrassment.",0.9815950920245399,dict.talents.analyser.tips.4,
dict.talents.analyser.tips.5,157,"5. Consider working in a field where you can analyze data, it could be either marketing, finance, risk advisory, or maybe medical research, to name a few.","5. Zvažte práci v oblasti, kde můžete analyzovat data. Může to být například marketing, finance, rizikové poradenství nebo výzkum.","5. Envisagez de travailler dans un domaine où vous pouvez analyser les données, il peut s'agir par exemple du marketing, de la finance, du conseil sur le risque ou de la recherche médical, pour n'en nommer que quelques-uns.","5. Überlegen Sie sich, ob Sie nicht in einem Bereich arbeiten wollen, in dem Sie Daten analysieren können, z. B. im Marketing, im Finanzwesen, in der Risikoberatung oder in der medizinischen Forschung, um nur einige zu nennen.",,Performed,Found,"5. Consider working in a field where you can analyze data, it could be either marketing, finance, risk advisory, or maybe medical research, to name a few.","Consider working in a field where you can analyze data, it could be either marketing, finance, risk advisory, or maybe medical research, to name a few.",0.9920634920634921,dict.talents.analyser.tips.5,
dict.talents.believer.tips.1,,"1. Try to find work which is aligned with your core values, otherwise it will be more and more frustrating for you.","1. Pokuste se pracovat s lidmi, kteří jsou v souladu s Vašimi základními hodnotami, jinak to pro Vás může být stále více frustrující.","1. Essayez de trouver un travail qui est en accord avec vos valeurs fondamentales, sinon cela sera de plus en plus frustrant pour vous.","1. Versuchen Sie, eine Arbeit zu finden, die mit Ihren Grundwerten übereinstimmt, sonst wird es für Sie zunehmend frustrierend werden.",,Performed,Found,"1. Try to find work which is aligned with your core values, otherwise it will be more and more frustrating for you.","Try to find work which is aligned with your core values, otherwise it/ll be more and more frustrating for you.",0.9617486338797814,dict.talents.believer.tips.1,
dict.talents.believer.tips.2,,"2. Don't question your own values just because others doubt them, you know why they are important for you and it makes you stronger!","2. Nepochybujte o svých vlastních hodnotách jen proto, že jiní o nich pochybují. Vy víte, proč jsou pro Vás důležité, a to Vás posiluje!","2. Ne remettez pas en question vos propres valeurs simplement parce que les autres doutent d'elles, vous savez pourquoi elles sont importantes pour vous et cela vous rend plus fort!","2. Stellen Sie Ihre eigenen Werte nicht in Frage, nur weil andere sie anzweifeln. Sie wissen, warum sie für Sie wichtig sind, und das macht Sie stärker!",,Performed,Found,"2. Don't question your own values just because others doubt them, you know why they are important for you and it makes you stronger!","Don't question your own values just because others doubt them, you know why they are important for you and it makes you stronger!",0.9906542056074766,dict.talents.believer.tips.2,
dict.talents.believer.tips.3,,"3. Let your values help you grow and develop yourself, it leads you to a future which is fulfilling, as long as you continue to follow them.","3. Umožněte svým hodnotám, aby Vám pomohly růst a rozvíjet se. To Vás povede k budoucnosti, která Vás bude naplňovat, pakliže se na této cestě udržíte.","3. Laissez vos valeurs vous aider à grandir et à vous développer, cela vous mène vers un avenir qui est épanouissant, tant que vous continuez à les suivre.","3. Lassen Sie sich von Ihren inneren Werten helfen, zu wachsen und sich weiterzuentwickeln, sie führen Sie in eine erfüllte Zukunft, solange Sie ihnen folgen.",,Performed,Found,"3. Let your values help you grow and develop yourself, it leads you to a future which is fulfilling, as long as you continue to follow them.","Let your values help you to grow and develop yourself, it leads you to a future which is fulfilling you, as long as you continue to follow them.",0.9519650655021834,dict.talents.believer.tips.3,
dict.talents.believer.tips.4,,"4. Your values increase your confidence, try to think of them frequently.","4. Vaše hodnoty Vám zvyšují sebedůvěru, zkuste si je často připomínat.","4. Vos valeurs augmentent votre confiance en vous, essayez d'y penser souvent.","4. Ihre inneren Werte stärken Ihr Selbstvertrauen, versuchen Sie, häufig an sie zu denken. ",,Performed,Found,"4. Your values increase your confidence, try to think of them frequently.","Your values increase your confidence, try to think of them frequently. Use the ""value space"" in your Wellmee app.",0.7612903225806451,dict.talents.believer.tips.4,
dict.talents.believer.tips.5,158,"5. Whenever you feel lost, review your values, they will guide you to take action and decisions which will come from your core.","5. Kdykoli se cítíte ztraceni, uvědomte si své životní hodnoty. Ty Vás povedou k činům a rozhodnutím, která pocházejí z vašeho nitra.","5. Dès lors que vous vous sentirez perdu, passez en revue vos valeurs, elles vous guideront pour prendre des mesures et des décisions qui viennent de votre fort intérieur.","5. Wann immer Sie sich verloren vorkommen, besinnen Sie sich auf Ihre Werte, sie werden Sie zu Handlungen und Entscheidungen führen, die aus Ihrem Inneren kommen.",,Performed,Found,"5. Whenever you feel lost, review your values, they will guide you to take action and decisions which will come from your core.","Whenever you feel lost, review your values, they will guide you to take action and decisions which will come from your core.",0.9902912621359223,dict.talents.believer.tips.5,
dict.talents.ideamaker.tips.1,,"1. Try to find a work where you get space to use your creative thinking, where you are encouraged to do so and be rewarded for it (you'll do well in fields like product development, marketing, journalism or startups).","1. Pokuste se vynaložit úsilí tam, kde získáte prostor pro využití svého kreativního myšlení, kde jste k tomu povzbuzováni a budete za to odměněni (může se Vám dařit v oblastech, jako je vývoj produktů, marketing, žurnalistika nebo startupy).","1. Essayez de trouver un travail où vous avez de l'espace pour utiliser votre pensée créative, où vous êtes encouragé à le faire et à être récompensé pour cela (vous réussirez dans des domaines comme le développement de produits, le marketing, le journalisme ou les startups).","1. Versuchen Sie, eine Arbeit zu finden, bei der Sie Raum für Ihr kreatives Denken haben, bei der Sie dazu ermutigt werden und bei der Sie dafür belohnt werden (Sie werden in Bereichen wie Produktentwicklung, Marketing, Journalismus oder Start-ups gut zurechtkommen).",,Performed,Found,"1. Try to find a work where you get space to use your creative thinking, where you are encouraged to do so and be rewarded for it (you'll do well in fields like product development, marketing, journalism or startups).","Try to find a work where you get space to use your creative thinking, where you are encouraged to do so and be rewarded for it (you'll do well in fields like product development, marketing, journalism or startups).",0.9943502824858758,dict.talents.ideamaker.tips.1,
dict.talents.ideamaker.tips.2,,2. Being in an environment with open minded people is much more fulfilling for you than hanging out with close minded people - try to avoid them so you aren't constantly frustrated.,"2. Být v prostředí s lidmi s otevřenou myslí Vás naplňuje mnohem více, než se potkávat s těmi, kteří otevřeným názorům příliš nejsou. Zkuste se jim vyhnout, abyste nebyli neustále frustrovaní.","2. Être dans un environnement avec des personnes ouvertes est beaucoup plus épanouissant pour vous que de passer du temps avec des personnes àl'espirt étroit- essayez de les éviter, afin de ne pas être constamment frustré.","2. Ein Umfeld mit aufgeschlossenen Menschen ist für Sie viel erfüllender als der Umgang mit engstirnigen Menschen - versuchen Sie, diese zu vermeiden, damit Sie nicht ständig unzufrieden sind.",,Performed,Found,2. Being in an environment with open minded people is much more fulfilling for you than hanging out with close minded people - try to avoid them so you aren't constantly frustrated.,Being in an environment with open minded people is much more fulfilling for you than hanging out with close minded people - try to avoid them so you aren't constantly frustrated.,0.9932432432432432,dict.talents.ideamaker.tips.2,
dict.talents.ideamaker.tips.3,,"3. As you get bored quickly when you're not mentally challenged, try to keep yourself busy with thinking over new scenarios of different situations and challenging other people with your ideas.","3. Jelikož jste rychle znuděni, když Vás nic nevybízí k přemýšlení, zkuste se sami zaměstnávat přemýšlením o nových scénářích různých situací a vyzvat ostatní lidi svými nápady.","3. Comme vous vous ennuyez rapidement lorsque vous n'êtes pas défié mentalement, essayez de vous occuper en réfléchissant à de nouveaux scénarios sur les différentes situations et de défier les autres avec vos idées.","3. Da Sie sich schnell langweilen, wenn Sie geistig unterfordert sind, versuchen Sie, sich damit zu beschäftigen, neue Szenarien für verschiedene Situationen zu durchdenken und andere Menschen mit Ihren Ideen herauszufordern.",,Performed,Found,"3. As you get bored quickly when you're not mentally challenged, try to keep yourself busy with thinking over new scenarios of different situations and challenging other people with your ideas.","As you get bored quickly when you're not mentally challenged, try to keep yourself busy with thinking over new scenarios of different situations and challenging other people with your ideas.",0.9937888198757764,dict.talents.ideamaker.tips.3,
dict.talents.ideamaker.tips.4,,4. Don't be frustrated if others don't accept your ideas immediately. Everyone has to get on board and thus try to explain to others how you came up with certain ideas and to what outcome it will lead.,"4. Nenechte se frustrovat, pokud ostatní nepřijmou Vaše nápady okamžitě. Každý se k tomu musí dopracovat, a tak se pokuste ostatním vysvětlit, jak jste přišli na určité nápady a k jakým výsledkům to povede.","4. Ne soyez pas frustré si les autres n'acceptent pas vos idées immédiatement. Tout le monde doit prendre le temps de monter à bord, ainsi essayer d'expliquer aux autres comment vous avez trouvé certaines idées et à quel résultat cela mènera.","4. Seien Sie nicht frustriert, wenn andere Ihre Ideen nicht sofort akzeptieren. Jeder muss mitspielen, also versuchen Sie, den anderen zu erklären, wie Sie auf bestimmte Ideen gekommen sind und zu welchem Ergebnis sie führen werden.",,Performed,Found,4. Don't be frustrated if others don't accept your ideas immediately. Everyone has to get on board and thus try to explain to others how you came up with certain ideas and to what outcome it will lead.,Don't be frustrated if others don't accept your ideas immediately. Everyone has to get on board and thus try to explain to others how you came up with certain ideas and to what outcome it will lead.,0.9938271604938271,dict.talents.ideamaker.tips.4,
dict.talents.ideamaker.tips.5,159,5. Great ideas also come from other people's ideas and actions. Try to listen to audio or read books from smart and open minded people - it can be a great source for your thoughts. ,5. Skvělé nápady také pocházejí z nápadů a řešení jiných lidí. Pokuste se naslouchat jiným nebo číst knihy od inteligentních a myslí otevřených lidí - může to být skvělý zdroj pro Vaše myšlenky.,5. Les grandes idées proviennent également d'idées et d'actions des autres. Essayez d'écouter des livres audios ou de lire des livres de personnes intelligentes et ouvertes - cela peut être une excellente source pour vos pensées.,"5. Großartige Einfälle kommen auch von den Ideen und Handlungen anderer Menschen. Versuchen Sie, sich Hörbücher anzuhören oder Bücher von intelligenten und aufgeschlossenen Menschen zu lesen - das kann eine großartige Quelle für Ihre Gedanken sein.",,Performed,Found,5. Great ideas also come from other people's ideas and actions. Try to listen to audio or read books from smart and open minded people - it can be a great source for your thoughts. ,Great ideas also come from other people's ideas and actions. Try to listen to audio or read books from smart and open minded people - it can be a great source for your thoughts.,0.9930555555555556,dict.talents.ideamaker.tips.5,
dict.talents.coach.tips.1,,"1. Seek a career where you can use your inner motivation to help develop other people. This could be well used in jobs like trainers, teachers, and managers. This skill is important in leadership too.","1. Snažte se uplatnit tam, kde můžete použít svou vnitřní motivaci, abyste pomohli rozvíjet ostatní lidi. To by mohlo být dobře použito v oblastech, jako jsou školitelé, učitelé a manažeři. Tato dovednost je také důležitá v leadershipu.","1. Visez une carrière où vous pouvez mettre à profit votre motivation intérieure d'aider les autres à se développer. Les carrières de formateurs, professeurs, et cadres sont les plus appropriées. Cette compétence est également importante dans le leadership.","1. Suchen Sie einen Beruf, bei dem Sie Ihre innere Motivation nutzen können, um andere Menschen zu fördern. Dies könnte in Berufen wie Ausbildern, Lehrern und Managern gut genutzt werden. Diese Fähigkeit ist auch für Führungsaufgaben wichtig.",,Performed,Found,"1. Seek a career where you can use your inner motivation to help develop other people. This could be well used in jobs like trainers, teachers, and managers. This skill is important in leadership too.","Seek a career where you can use your inner motivation to help develop other people. This could be well used in jobs like trainers, teachers, and managers. This skill is important in leadership too.",0.9939024390243902,dict.talents.coach.tips.1,
dict.talents.coach.tips.2,,"2. Trust your instincts to develop people who actually want to be developed, which is not always clear from the first moment you meet them, so check in to be sure your time and energy is well spent.","2. Důvěřujte svým instinktům rozvíjet lidi, kteří se skutečně chtějí rozvíjet, což není vždy jasné od prvního okamžiku, kdy se s nimi setkáte. Ujistěte se, že Váš čas a energie jsou dobře vynaloženy.","2. Faites confiance à votre instinct et développez les personnes qui le souhaite réellement, ce qui n'est pas toujours clair au premier abord, vérifiez donc bien afin que votre temps et votre énergie soient dépensées à bon escient.","2. Verlassen Sie sich auf Ihren Instinkt, um Menschen zu fördern, die tatsächlich gefördert werden wollen. Das ist nicht immer vom ersten Moment an klar, daher sollten Sie sich vergewissern, dass Ihre Zeit und Energie gut investiert sind. ",,Performed,Found,"2. Trust your instincts to develop people who actually want to be developed, which is not always clear from the first moment you meet them, so check in to be sure your time and energy is well spent.","Trust your instincts to develop people who actually want to be developed, which is not always clear from the first moment you meet them, so check in to be sure your time and energy is well spent.",0.9937106918238994,dict.talents.coach.tips.2,
dict.talents.coach.tips.3,,"3. On the other hand, try to encourage people who are continually struggling in their current role to try some other roles which may suit them better.","3. Na druhé straně se pokuste povzbudit lidi, kteří se ve své současné roli neustále trápí, aby vyzkoušeli některé další role, které jim mohou lépe vyhovovat.","3. D'un autre côté, essayez d'encourager les personnes qui se battent continuellement avec leur poste actuel à essayer d'autres postes qui pourraient leur convenir mieux.","3. Versuchen Sie andererseits, Menschen, die sich in ihrer derzeitigen Rolle ständig schwertun, zu ermutigen, andere Aufgaben auszuprobieren, die ihnen vielleicht besser liegen.",,Performed,Found,"3. On the other hand, try to encourage people who are continually struggling in their current role to try some other roles which may suit them better.","On the other hand, try to encourage people who are continually struggling in their current role to try some other roles which may suit them better.",0.9918032786885246,dict.talents.coach.tips.3,
dict.talents.coach.tips.4,,"4. Try to master the subject you want to develop in other people, you'll be a more and more trusted person and your suggestions and recommendations will be accepted more easily.","4. Pokuste se zdokonalit v oblasti, kterou chcete rozvíjet u jiných lidí. Budete tak stále více důvěryhodnější osobou a Vaše návrhy a doporučení budou lehčeji přijata.","4. Essayez de maîtriser le sujet que vous souhaitez développer chez d'autres personnes, vous serez une personne plus plausible et vos suggestions et recommandations seront acceptées plus facilement.","4. Versuchen Sie, das Fachwissen zu erlangen, das Sie bei anderen Menschen entwickeln wollen, dann werden Sie mehr und mehr zu einer vertrauenswürdigen Person, und Ihre Vorschläge und Empfehlungen werden leichter akzeptiert werden. ",,Performed,Found,"4. Try to master the subject you want to develop in other people, you'll be a more and more trusted person and your suggestions and recommendations will be accepted more easily.","Try to master the subject you want to develop in other people, you'll be a more and more trusted person and your suggestions and recommendations will be accepted more easily.",0.993103448275862,dict.talents.coach.tips.4,
dict.talents.coach.tips.5,160,"5. When you provide feedback to someone, praise their positive progress, highlight what exactly was right and identify steps of improvement with timing.","5. Když někomu poskytnete zpětnou vazbu a chválíte jejich pozitivní pokrok, tak zdůrazněte, co přesně bylo správné a identifikujte kroky ke zlepšení.","5. Lorsque vous communiquez des retours à quelqu'un, mettez en avant ses progrès positifs, soulignez ce qui était exacte et identifiez les étapes d'amélioration avec un calendrier clair.","5. Wenn Sie jemandem Feedback geben, loben Sie seine positiven Fortschritte, heben Sie hervor, was genau richtig war, und nennen Sie Verbesserungsmöglichkeiten mit Zeitangabe.",,Performed,Found,"5. When you provide feedback to someone, praise their positive progress, highlight what exactly was right and identify steps of improvement with timing.","When you provide feedback to someone, praise their positive progress, highlight what exactly was right and identify steps of improvement with timing.",0.9921875,dict.talents.coach.tips.5,
dict.talents.leader.tips.1,,"1. Since it doesn't make you uncomfortable to handle conflict, you can support people who lack that talent to deliver their direct opinions.","1. Vzhledem k tomu, že Vám nečiní problém být v konfliktní situaci, můžete podpořit lidi, kteří takový talent nemají, aby i jejich názory dostaly potřebný prostor.","1. Puisque vous n'avez pas de problème à gérer des conflits, vous pouvez soutenir les personnes qui n'ont pas ses facilités afin qu'ils puissent présenter leurs opinions.","1. Da es Ihnen nicht schwerfällt, Konflikte zu lösen, können Sie Menschen, denen dieses Talent fehlt, dabei unterstützen, ihre Ansichten direkt zu äußern.",,Performed,Found,"1. Since it doesn't make you uncomfortable to handle conflict, you can support people who lack that talent to deliver their direct opinions.","Since it doesn't make you uncomfortable to be in conflict, you can support people who don't have the same talent to deliver their direct opinions.",0.8487394957983193,dict.talents.leader.tips.1,
dict.talents.leader.tips.2,,"2. You may be a role model for people who lack self confidence and who like to be lead, consider that wisely so you can make a positive impact on others' lives.","2. Můžete být vzorem pro lidi, kteří nemají takové sebevědomí a kteří jsou rádi vedeni. Tuto možnost můžete zvážit, abyste měli pozitivní dopad na životy ostatních.",2. Vous pouvez être un modèle pour les personnes qui n'ont pas une telle confiance en eux et qui aiment être guidés. Vous pouvez mettre à contribution intelligemment cela afin d'avoir un impact positif sur la vie des autres.,"2. Sie können ein Vorbild für Menschen sein, denen es an Selbstvertrauen mangelt und die gerne geführt werden; überlegen Sie sich das gut, damit Sie das Leben anderer positiv beeinflussen können.",,Performed,Found,"2. You may be a role model for people who lack self confidence and who like to be lead, consider that wisely so you can make a positive impact on others' lives.","You may be a role model for people who lack self confidence and who like to be lead, consider that wisely so you can make a positive impact on others' lives.",0.9921259842519685,dict.talents.leader.tips.2,
dict.talents.leader.tips.3,,"3. When you align body language and statements with your natural talent to command people, you will become very persuasive.","3. Když se Vám podaří sladit řeč těla se svým přirozeným talentem, kterým se Vám daří řídit lidi, budete velmi přesvědčiví.","3. Si vous parvenez à aligner votre présentation extérieure et votre pensée avec votre talent naturel à diriger des gens, vous allez devenir très persuasif.","3. Wenn Sie Ihre Körpersprache und Ihre Aussagen mit Ihrem natürlichen Talent, Menschen zu führen, in Einklang bringen, werden Sie sehr überzeugend sein.",,Performed,Found,"3. When you align body language and statements with your natural talent to command people, you will become very persuasive.","When you align body language and statements with your natural talent to command people, you'll be very persuasive.",0.9447236180904522,dict.talents.leader.tips.3,
dict.talents.leader.tips.4,,4. Seek roles where you can best apply your talent of persuasion like in Sales or Politics.,"4. Vyhledejte role, kde můžete nejlépe aplikovat svůj talent přesvědčování, což by se nabízelo v oblasti prodeje nebo politice.","4. Recherchez des rôles où vous pouvez au mieux appliquer votre talent de persuasion, comme par exemple dans le domaine de la vente ou la politique.","4. Suchen Sie sich Aufgaben, bei denen Sie Ihr Überzeugungstalent am besten einsetzen können, z. B. im Verkauf oder in der Politik. ",,Performed,Found,4. Seek roles where you can best apply your talent of persuasion like in Sales or Politics.,Seek roles where you can best apply your talent of persuasion like in Sales or Politics.,0.9863013698630136,dict.talents.leader.tips.4,
dict.talents.leader.tips.5,161,"5. Try to build strength through your openness, people will then turn to you for your opinions.","5. Pokuste se vybudovat sílu prostřednictvím své otevřenosti, lidé se na Vás pak obrátí pro Vaše názory.","5. Essayez de bâtir votre force à travers votre ouverture d'esprit, les gens se tourneront alors vers vous pour avoir votre opinion.","5. Versuchen Sie, durch Ihre Offenheit Stärke aufzubauen, die Menschen werden sich dann an Sie wenden, wenn sie Ihre Meinung hören wollen.",,Performed,Found,"5. Try to build strength through your openness, people will then turn to you for your opinions.","Try to build strength through your openness, people will then turn to you for your opinions.",0.987012987012987,dict.talents.leader.tips.5,
dict.talents.communicator.tips.1,,"1. Seek roles which fit you best (moderator, speaker, journalist, politics).","1. Hledejte role, které Vám nejlépe vyhovují (moderátor, řečník, novinář, politik).","1. Recherchez des rôles qui vous conviennent le mieux (présentateur, conférencier, journaliste, politique).","1. Suchen Sie sich die Aufgaben, die am besten zu Ihnen passen (Moderator, Redner, Journalist, Politik).",,Performed,Found,"1. Seek roles which fit you best (moderator, speaker, journalist, politics).","Seek roles which fit you best (moderator, speaker, journalist, politics).",0.984375,dict.talents.communicator.tips.1,
dict.talents.communicator.tips.2,,"2. Since you may excel in storytelling, consider reading a lot or listening to different audio books, to gain the ability to impress other people with your knowledge.","2. Vzhledem k tomu, že můžete vyniknout ve vyprávění, hodně čtěte nebo poslouchejte různé audio knihy, abyste měli schopnost zapůsobit na ostatní lidi svými znalostmi.","2. Puisque vous excellez dans la narration, pensez à lire beaucoup ou à écouter différents livres audios, pour acquérir la capacité d'impressionner les autres avec vos connaissances.","2. Da Sie vielleicht besonders gut im Erzählen von Geschichten sind, sollten Sie viel lesen oder verschiedene Hörbücher hören, um die Fähigkeit zu erlangen, andere Menschen mit Ihrem Wissen zu beeindrucken.",,Performed,Found,"2. Since you may excel in storytelling, consider reading a lot or listening to different audio books, to gain the ability to impress other people with your knowledge.","Since you may excel in storytelling, read a lot or listen to different audio books, so you have the ability to impress other people with your knowledge.",0.8593155893536122,dict.talents.communicator.tips.2,
dict.talents.communicator.tips.3,,"3. Gaining other people's attention is what drives you, try to include images and metaphors into your storytelling to make it more vivid.","3. Baví Vás, když získáte pozornost jiných lidí. Zkuste do svých vyprávěných příběhů zahrnout metafory, aby byly živější.","3. Attirer l'attention des autres est ce qui vous motive, essayez d'inclure des descriptions précises et des métaphores dans votre discours afin de le rendre plus vivant.","3. Die Aufmerksamkeit anderer Menschen zu gewinnen, ist das, was Sie antreibt. Versuchen Sie, Bilder und Metaphern in Ihre Erzählungen einzubauen, um sie anschaulicher zu machen.",,Performed,Found,"3. Gaining other people's attention is what drives you, try to include images and metaphors into your storytelling to make it more vivid.","Getting other people's attention is what drives you, try to include images and metaphors into your story telling to make it more vivid.",0.9557522123893806,dict.talents.communicator.tips.3,
dict.talents.communicator.tips.4,,"4. Even though you are naturally strong communicator, practice is a must in order to perform at your best. The more you practice, the more naturally you'll improve.","4. I když jste přirozeně silní v komunikaci, cvičení je nutnost, abyste mohli být ještě lepší. Čím větší máte praxi, tím přirozeněji Vám půjde improvizace.","4. Même si vous avez naturellement des faciliter à faire des discours, la pratique régulière est indispensable afin d'exceller dans l'exercice. Plus vous vous entraînez, plus vous excellerez.","4. Auch wenn Sie von Natur aus ein starker Kommunikator sind, müssen Sie üben, um Ihr Bestes zu geben. Je mehr Sie üben, desto mehr werden Sie sich natürlich verbessern.",,Performed,Found,"4. Even though you are naturally strong communicator, practice is a must in order to perform at your best. The more you practice, the more naturally you'll improve.","Even though you are naturally strong in communication, practice is a must in order to perform at your best. The more you practice, the more naturally you'll improvise.",0.9381818181818182,dict.talents.communicator.tips.4,
