manual_keys,index_column,en,cs,fr,de_en,de_cz,es,generated_keys,best_match_performed,best_match_found,en_copy,best_match_matchedTranslation,best_match_rating,best_match_keys,best_match_in_not_found
,,You hate routines and things which go as expected.,"Nenávidíte rutiny a v?ci, které jdou podle o?ekávání.","Vous détestez la routine et les choses prédictibles. ",,,,dict.talents.flexible.positives.4,,,You hate routines and things which go as expected.,,,,
,,You respond easily to moments which don't go according to plan.,"Snadno reagujete na okamžiky, které nejdou podle plánu.","Vous affrontez facilement les situations qui ne sont pas comme prévu. ",,,,dict.talents.flexible.positives.5,,,You respond easily to moments which don't go according to plan.,,,,
,,"With all you do, you stay calm and controlled under stress more easily than others.","U všeho, co d?láte, z?stáváte klidní a máte stres pod kontrolou více než ostatní.","Malgré tout ce que vous faites, vous restez calme et retenu sous le stress plus facilement que les autres.",,,,dict.talents.flexible.positives.6,,,"With all you do, you stay calm and controlled under stress more easily than others.",,,,
,,"You prefer facts and a logical approach, rather than intuition.","Up?ednost?ujete fakta a logický p?ístup, spíše než intuici.","Vous préférez les faits et une approche logique, plutôt que l'intuition.",,,,dict.talents.analyser.positives.1,,,"You prefer facts and a logical approach, rather than intuition.",,,,
,,Having valuable data in your mind gives you confidence because you can easily search for patterns.,"Práce s relevantními daty Vám dává d?v?ru, protože m?žete leh?eji vytvá?et správné postupy.",Avoir des données précieuses dans votre esprit vous donne confiance car vous pouvez facilement rechercher des modčles.,,,,dict.talents.analyser.positives.2,,,Having valuable data in your mind gives you confidence because you can easily search for patterns.,,,,
,,You seek simplicity and clarification through a huge amount of data.,Hledáte jednoduchost a objasn?ní prost?ednictvím velkého množství dat.,Vous recherchez la simplicité et la clarification grâce ŕ une grande quantité de données.,,,,dict.talents.analyser.positives.3,,,You seek simplicity and clarification through a huge amount of data.,,,,
,,You tend to be precise while communicating your ideas.,P?i sd?lování Vašich nápad? máte tendenci být p?esní.,Vous avez tendance ŕ ętre précis lorsque vous communiquez vos idées.,,,,dict.talents.analyser.positives.4,,,You tend to be precise while communicating your ideas.,,,,
,,As an analytical person you may easily get frustrated when someone tells you to follow your heart rather than your mind.,"Jako analytická osoba m?žete být snadno frustrovaní, když Vám n?kdo ?ekne, abyste sledovali Vaše srdce spíše než na svou mysl. Vy jste o svém p?ístupu ale p?esv?d?eni.","En tant que personne analytique, vous pouvez facilement ętre frustré lorsque quelqu'un vous dit de suivre votre cśur plutôt que votre esprit.",,,,dict.talents.analyser.positives.5,,,As an analytical person you may easily get frustrated when someone tells you to follow your heart rather than your mind.,,,,
,,Your brain can easily focus on different combinations and connections which other people cannot easily see.,"Váš mozek se m?že snadno zam??it na r?zné kombinace a spojení, které ostatní lidé nevidí.",Votre cerveau peut facilement se concentrer sur différentes combinaisons et connexions alors que d'autres personnes ne les voient pas facilement.,,,,dict.talents.analyser.positives.6,,,Your brain can easily focus on different combinations and connections which other people cannot easily see.,,,,
,,You prize your values more than money.,Oce?ujete své hodnoty více než peníze.,Vous appréciez vos valeurs plus que l'argent.,,,,dict.talents.believer.positives.1,,,You prize your values more than money.,,,,
,,It's difficult for you to accept when someone doubts your values and the things you do.,"Je pro Vás t?žké p?ijmout, když n?kdo pochybuje o Vašich hodnotách a v?cech, které d?láte. Vy jste ale o svém postupu p?esv?d?eni.",Il est difficile pour vous d'accepter quand quelqu'un doute de vos valeurs et des choses que vous faites.,,,,dict.talents.believer.positives.2,,,It's difficult for you to accept when someone doubts your values and the things you do.,,,,
,,You value things such as high ethics and responsibility.,"Vážíte si v?cí, jako je etika a odpov?dnost.",Vous appréciez les choses telles que le sens de l'éthique prononcé et les responsabilités.,,,,dict.talents.believer.positives.3,,,You value things such as high ethics and responsibility.,,,,
,,"Your core values keep you on the right track in your life, especially in times of distraction and temptation.","Vaše základní hodnoty Vás udržují na správné cest? ve Vašem život?, zejména v momentech rozptylování a pokušení.","Vos valeurs fondamentales vous maintiennent sur la bonne voie dans votre vie, en particulier en période de distraction et de tentation.",,,,dict.talents.believer.positives.4,,,"Your core values keep you on the right track in your life, especially in times of distraction and temptation.",,,,
,,Your values will inspire others to take action.,"Vaše hodnoty m?žou inspirovat ostatní, aby s ohledem na n? jednali.",Vos valeurs inspireront les autres ŕ agir.,,,,dict.talents.believer.positives.5,,,Your values will inspire others to take action.,,,,
,,"Your values guide your behaviour, and they help you to understand what's right and wrong","Vaše hodnoty ?ídí Vaše chování a pomohou Vám rozlišit, co je správné a co špatné.","Vos valeurs guident votre comportement, et elles vous aident ŕ comprendre ce qui est bien et mal.",,,,dict.talents.believer.positives.6,,,"Your values guide your behaviour, and they help you to understand what's right and wrong",,,,
,,You love creating new ideas.,Milujete získávání nových nápad?.,"Vous aimez créer de nouvelles idées. ",,,,,Performed,Found,You love creating new ideas.,You love creating of new ideas.,0.9166666666666666,dict.talents.ideamaker.positives.1,dict.talents.ideamaker.positives.1
,,You like it when you are challenged to bring new ideas to the table.,"Líbí se Vám, když jste vyzváni, abyste p?inesli nové nápady.",Vous aimez lorsque vous ętes mis au défi de mettre sur table de nouvelles idées.,,,,,Performed,Found,You like it when you are challenged to bring new ideas to the table.,You like it when you are challenged to bring new ideas.,0.8775510204081632,dict.talents.ideamaker.positives.2,dict.talents.ideamaker.positives.2
,,It gets boring for you once you start to do routine activities or you have to work with close minded people.,"Jakmile za?nete d?lat rutinní aktivity anebo pracujete s lidmi, kte?í jsou limitovaní ve svém myšlení, m?že to být pro Vás nudné.",Cela devient ennuyeux pour vous une fois que vous commencez ŕ faire dvos activités sont routiničres ou que vous devez travailler avec des personnes ŕ l'esprit fermé.,,,,dict.talents.ideamaker.positives.3,,,It gets boring for you once you start to do routine activities or you have to work with close minded people.,,,,
,,"For you an idea is a link to the unknown, and you love to search for the connections to these links. ",Nápad je pro Vás propojením do neznámého a Vy jste v t?chto vodách jako ryba ve vod?.,"Pour vous, une idée est un lien vers l'inconnu, et vous aimez rechercher les connexions ŕ ces liens.",,,,,Performed,Found,"For you an idea is a link to the unknown, and you love to search for the connections to these links. ","For you an idea is a link to the unknown, and you love to search for the connections to these links.",1,dict.talents.ideamaker.positives.4,dict.talents.ideamaker.positives.4
,,"You don't feel ashamed when coming up with some bizzare novel approach, it drives your life. ","Nestydíte se, když p?icházíte s n?jakým netradi?ním p?ístupem. Naopak to je n?co, co ?ídí Váš život.","Vous n'avez pas honte de proposer une nouvelle approche non conventionnelle, cela anime votre flame.",,,,,Performed,Found,"You don't feel ashamed when coming up with some bizzare novel approach, it drives your life. ","You don't feel ashamed when coming up with some bizzare novel approach, it drives your life.",1,dict.talents.ideamaker.positives.5,dict.talents.ideamaker.positives.5
,,"You admire visionaries and dreamers, it motivates you to follow their path.","Máte sympatie pro vizioná?e a snílky. Motivují Vás k tomu, abyste se vydali na jejich cestu.","Vous admirez les visionnaires et les ręveurs, cela vous motive ŕ suivre leur chemin.",,,,dict.talents.ideamaker.positives.6,,,"You admire visionaries and dreamers, it motivates you to follow their path.",,,,
,,You have a talent for seeing potential in other people and you like to develop it.,Máte talent pro odhalení potenciálu u jiných lidí a rádi jej u nich rozvíjíte.,"Vous avez un talent pour détecter le potentiel des autres personnes et vous aimez le développer. ",,,,dict.talents.coach.positives.1,,,You have a talent for seeing potential in other people and you like to develop it.,,,,
,,"You are happy when you see other people not wasting their talent. ","Jste š?astní, když vidíte, že ostatní lidé neztrácí sv?j talent.",Vous ętes heureux de voir que d'autres personnes ne gaspillent pas leur talent.,,,,,Performed,Found,"You are happy when you see other people not wasting their talent. ",You are happy when you see other people not wasting their talent.,1,dict.talents.coach.positives.2,dict.talents.coach.positives.2
,,"People's success which you helped develop, feels like your own success. ","Úsp?ch lidí, kterým jste pomohli rozvinout se, Vás zah?eje. "," Le succčs des personnes que vous avez aidé ŕ développer devient le vôtre.",,,,,Performed,Found,"People's success which you helped develop, feels like your own success. ","People's success which you helped develop, feels like your own success.",1,dict.talents.coach.positives.3,dict.talents.coach.positives.3
,,"You seek ways in which to challenge other people. ","Hledáte zp?soby, jak jiné lidi pozvednout."," Vous cherchez des moyens de défier les autres personnes.",,,,,Performed,Found,"You seek ways in which to challenge other people. ",You seek ways in which to challenge other people.,1,dict.talents.coach.positives.4,dict.talents.coach.positives.4
,,"Understanding people is something you are good at, and it gives you pleasure to help them.","Jste dob?í v porozum?ní lidem a t?ší Vás, když jim m?žete pomoct."," Vous ętes doué pour comprendre les gens et cela vous plait de pouvoir les aider.",,,,dict.talents.coach.positives.5,,,"Understanding people is something you are good at, and it gives you pleasure to help them.",,,,
,,You have the ability to change the life course of other people.,Máte schopnost zm?nit životní kurz ostatních lidí..," Avez-vous la capacité de changer le cours des vies des autres personnes.",,,,dict.talents.coach.positives.6,,,You have the ability to change the life course of other people.,,,,
,,You like to be in charge.,"Líbí se Vám, když máte na starost r?zné v?ci.",Vous aimez ętre responsable des choses.,,,,dict.talents.leader.positives.1,,,You like to be in charge.,,,,
,,You make decisions easily and you aren't afraid of conflict.,Snadno se rozhodujete a nebojíte se konfliktu.,Il vous ai facile de prendre des décisions et n'avez pas peur du conflit.,,,,dict.talents.leader.positives.2,,,You make decisions easily and you aren't afraid of conflict.,,,,
,,You like to be asked for your opinion and you love to speak up.,"Jste rádi, když Vás ostatní požádají o Váš názor a Vy jim sv?j názor m?žete sd?lít.",Vous ętes heureux qu'on vous demande votre avis et vous aimez le partager ŕ haute voix.,,,,dict.talents.leader.positives.3,,,You like to be asked for your opinion and you love to speak up.,,,,
,,"Once you form your idea, you feel you need to share it with others. ","Jakmile máte dobrý nápad, máte pocit, že jej musíte sdílet s ostatními.","Une fois que vous avez une idée précise, vous ressentez le besoin de la partager avec les autres.",,,,,Performed,Found,"Once you form your idea, you feel you need to share it with others. ","Once you form your idea, you feel you need to share it with others.",1,dict.talents.leader.positives.4,dict.talents.leader.positives.4
,,"Even if it's unpleasant, you are not afraid of confrontation. ","I když je to nep?íjemné, nebojíte se konfrontace.","Bien que cela soit désagréable, vous n'avez pas peur de la confrontation.",,,,,Performed,Found,"Even if it's unpleasant, you are not afraid of confrontation. ","Even if it's unpleasant, you are not afraid of confrontation.",1,dict.talents.leader.positives.5,dict.talents.leader.positives.5
,,"You don't like it when things are unclear, it's the reason you push everyone to be more open, even if uncomfortable.","Nelíbí se Vám, když jsou v?ci nejasné. A to je to d?vod, pro? ostatní nutíte, aby byli otev?en?jší, i když je to nep?íjemné.","Vous n'aimez pas quand les choses ne sont pas claires, c'est pourquoi vous poussez les autres ŕ ętre plus ouverts, męme si c'est désagréable.",,,,dict.talents.leader.positives.6,,,"You don't like it when things are unclear, it's the reason you push everyone to be more open, even if uncomfortable.",,,,
,,You are the master of communication.,Jste mistrem komunikace.,Vous ętes le maître de la communication.,,,,dict.talents.communicator.positives.1,,,You are the master of communication.,,,,
,,"You love to be listened to and to speak in public. ",Milujete mluvit na ve?ejnosti a nechat se poslouchat.," Vous aimez parler en public et ętre écouté.",,,,,Performed,Found,"You love to be listened to and to speak in public. ",You love to be listened to and to speak in public.,1,dict.talents.communicator.positives.2,dict.talents.communicator.positives.2
,,Situations where you cannot express yourself with words are annoying to you.,"Situace, kdy se nem?žete vyjád?it slovy, jsou pro Vás nep?íjemné."," Les situations oů vous ne pouvez vous exprimer avec des mots sont désagréables pour vous.",,,,dict.talents.communicator.positives.3,,,Situations where you cannot express yourself with words are annoying to you.,,,,
,,You have the ability to summarize different points which can help others to understand the situation more clearly.,"Máte schopnost shrnout r?zné body, které mohou ostatním pomoci porozum?t situaci jasn?ji."," Vous avez la capacité de résumer différents points ce qui peut aider les autres ŕ comprendre la situation plus clairement.",,,,dict.talents.communicator.positives.4,,,You have the ability to summarize different points which can help others to understand the situation more clearly.,,,,
,,"An audience loves people who can present and communicate - you have a chance to succeed in this area. ","Publikum miluje lidi, kte?í mohou prezentovat a komunikovat - máte šanci usp?t v této oblasti."," Le public aime les gens qui savent présenter et communiquer - vous avez la chance d'ętre bon dans ce domaine.",,,,,Performed,Found,"An audience loves people who can present and communicate - you have a chance to succeed in this area. ",An audience loves people who can present and communicate - you have a chance to succeed in this area.,1,dict.talents.communicator.positives.5,dict.talents.communicator.positives.5
,,"It's easy for you to lead a conversation, just don't forget to leave space for others to express themselves. ","Je pro Vás snadné vést konverzaci, ale také nezapome?te nechat prostor pro ostatní, aby se vyjád?ili."," Il est facile pour vous de mener une conversation, mais n'oubliez pas non plus de laisser de l'espace pour que les autres s'expriment.",,,,,Performed,Found,"It's easy for you to lead a conversation, just don't forget to leave space for others to express themselves. ","It's easy for you to lead a conversation, just don't forget to leave space for others to express themselves.",1,dict.talents.communicator.positives.6,dict.talents.communicator.positives.6
,,You love challenges.,Máte rádi výzvy.,Vous aimez les défis.,,,,dict.talents.challenger.positives.1,,,You love challenges.,,,,
,,You have the ability to turn a difficult challenge into a competition or a game.,Máte schopnost prom?nit obtížnou výzvu v sout?ž nebo hru.,Vous avez la capacité de transformer un défi difficile en compétition ou jeu.,,,,dict.talents.challenger.positives.2,,,You have the ability to turn a difficult challenge into a competition or a game.,,,,
,,You find yourself lost in situations which are not competitive.,"Ocitnete se ztraceni v situacích, které nejsou konkurenceschopné.",Vous vous sentez perdu dans les situations qui ne sont pas compétitives.,,,,dict.talents.challenger.positives.3,,,You find yourself lost in situations which are not competitive.,,,,
,,It is not just about achieving goals but you need your efforts and performance to be recognized by others.,"Nejde jen o dosažení cíl?, ale pot?ebujete, aby vaše úsilí a výkon byli uznány ostatními.","Il ne s'agit pas seulement d'atteindre des objectifs, mais vous avez besoin que vos efforts et que vos performances soient reconnus par les autres.",,,,dict.talents.challenger.positives.4,,,It is not just about achieving goals but you need your efforts and performance to be recognized by others.,,,,
,,You need to compete with other people and win to be fully fulfilled.,"Musíte konkurovat ostatním lidem a vyhrát, abyste došli napln?ní.",Vous avez besoin de rivaliser avec les autres personnes et gagner pour vous réaliser.,,,,dict.talents.challenger.positives.5,,,You need to compete with other people and win to be fully fulfilled.,,,,
,,"Losing frustrates you, so you prefer contests where you feel you have a chance to win.","Ztráta Vás frustruje, takže dáváte p?ednost sout?žím, kde máte pocit, že máte šanci vyhrát.","La défaite vous frustre, vous préférez donc les compétitions dans les domaines oů vous sentez que vous avez une chance de gagner.",,,,dict.talents.challenger.positives.6,,,"Losing frustrates you, so you prefer contests where you feel you have a chance to win.",,,,
,,You have the ability to calm unstable waters.,Máte schopnost uklidnit nestabilní vody.,Vous avez la capacité ŕ calmer des courants instables.,,,,dict.talents.connector.positives.1,,,You have the ability to calm unstable waters.,,,,
,,Putting people together and building bridges between them is your great talent.,Sestavení lidí a budování most? mezi nimi je Váš velký talent.,Former des groupes de personnes et construire des ponts entre eux est votre grand talent.,,,,dict.talents.connector.positives.2,,,Putting people together and building bridges between them is your great talent.,,,,
,,It frustrates you when people don't want to find common ground.,"Frustruje Vás, když lidé necht?jí najít spole?nou ?e?.",Cela vous frustre lorsque les gens ne veulent pas trouver de terrain d'entente.,,,,dict.talents.connector.positives.3,,,It frustrates you when people don't want to find common ground.,,,,
,,"You are more spiritual than other people, you believe we are all connected.","Jste více spirituální než ostatní lidé a v??íte, že jsme jako lidé r?zn? spojeni.","Vous ętes plus spirituel que les autres, vous croyez que nous sommes tous reliés.",,,,dict.talents.connector.positives.4,,,"You are more spiritual than other people, you believe we are all connected.",,,,
,,You are a bridge builder for people from different backgrounds and cultures.,Jste stavitelem most? pro lidi z r?zných prost?edí a kultur.,Vous ętes un constructeur de ponts entre les personnes de différents milieux et différentes cultures.,,,,dict.talents.connector.positives.5,,,You are a bridge builder for people from different backgrounds and cultures.,,,,
,,"You take care of others as you take care of yourself because you feel unity between all humans. ","Staráte se o ostatní jako se staráte o sebe, protože cítíte jednotu mezi lidmi.",Vous vous souciez des autres comme vous vous souciez de vous-męme car vous ressentez l'union parmi l'humanité.,,,,,Performed,Found,"You take care of others as you take care of yourself because you feel unity between all humans. ",You take care of others as you take care of yourself because you feel unity between all humans.,1,dict.talents.connector.positives.6,dict.talents.connector.positives.6
,,"You have the ability to feel what other people feel, to share their perspective.","Máte schopnost vnímat to, co ostatní lidé a sdílet s nimi jejich perspektivu.","Vous avez la capacité de percevoir ce que les autres ressentent, de partager leur point de vue.",,,,dict.talents.empathizer.positives.1,,,"You have the ability to feel what other people feel, to share their perspective.",,,,
,,It makes you feel good when your actions positively affect others.,"Cítíte se dob?e, když Vaše ?iny pozitivn? ovliv?ují ostatní.",Vous vous sentez bien lorsque vos actions affectent positivement les autres.,,,,dict.talents.empathizer.positives.2,,,It makes you feel good when your actions positively affect others.,,,,
,,On the other hand you don't like it when you are asked to not pay attention to your feelings and rely purely on logic.,"Na druhou stranu se Vám nelíbí, když po Vás cht?jí, abyste nev?novali pozornost svým pocit?m a spoléhali se ?ist? jen na logiku.","D'un autre côté, vous n'aimez pas quand on vous demande de ne pas écouter votre instinct et de ne compter uniquement que sur la logique.",,,,dict.talents.empathizer.positives.3,,,On the other hand you don't like it when you are asked to not pay attention to your feelings and rely purely on logic.,,,,
,,You know how to build strong relationships.,"Víte, jak budovat silné vztahy.",Vous savez comment établir des relations solides.,,,,dict.talents.empathizer.positives.4,,,You know how to build strong relationships.,,,,
,,You can anticipate the need of others and you understand the emotions of people in different situations.,M?žete p?edvídat pot?ebu druhých a rozumíte emocím lidí v r?zných situacích.,Vous savez prédire les besoins des autres et comprenez les émotions des gens selon les situations.,,,,dict.talents.empathizer.positives.5,,,You can anticipate the need of others and you understand the emotions of people in different situations.,,,,
,,"You don't always need to agree with other people, don't have to show them sympathy, yet it's important you respect their feelings.","Ne vždy musíte souhlasit s jinými lidmi a nemusíte jim projevovat soucit. P?esto je d?ležité, abyste respektovali jejich pocity.","Vous n'avez pas besoin d'ętre tout le temps d'accord avec les autres, n'avez pas ŕ leur témoigner de la compassion, cependant il est important que vous respectiez leurs sentiments.",,,,dict.talents.empathizer.positives.6,,,"You don't always need to agree with other people, don't have to show them sympathy, yet it's important you respect their feelings.",,,,
,,You don't like to have things mixed up - you go step by step.,"Nelíbí se Vám, když se míchají r?zné v?ci dohromady - Vy jdete krok za krokem.",Vous n'aimez pas lorsque les choses se mélangent - vous avancez pas ŕ pas.,,,,dict.talents.concentrated.positives.1,,,You don't like to have things mixed up - you go step by step.,,,,
,,"Once you finish one thing, then you move to another.","Jakmile dokon?íte jednu v?c, pak se p?esunete na druhou.","Une fois que vous avez terminé une chose, vous pouvez passer ŕ la suivante.",,,,dict.talents.concentrated.positives.2,,,"Once you finish one thing, then you move to another.",,,,
,,You hate to be distracted from your work.,"Nesnášíte, když Vás n?kdo odlákává od rozd?lané práce.",Vous détestez ętre distrait de votre travail.,,,,dict.talents.concentrated.positives.3,,,You hate to be distracted from your work.,,,,
,,Without a properly set goal or destination you may find yourself frustrated.,Bez ?ádn? stanoveného cíle se m?žete cítit frustrovaní.,Sans objectif ou but clairement défini vous pouvez vous sentir frustré.,,,,dict.talents.concentrated.positives.4,,,Without a properly set goal or destination you may find yourself frustrated.,,,,
,,You're very good at clarifying for yourself what's important and what needs to be left behind.,"Jste velmi dob?í v tom, že si uv?domujete, co je d?ležité a co je t?eba nechat být.",Vous ętre trčs doué pour éclaircir ce qui est important pour vous et peut ętre mis de côté.,,,,dict.talents.concentrated.positives.5,,,You're very good at clarifying for yourself what's important and what needs to be left behind.,,,,
,,You can easily get into the flow and lose track of time when you do things that are aligned with your talents.,"M?žete se snadno dostat do ""flow"" a ztratit p?ehled o ?ase, když d?láte v?ci, které jsou v souladu s Vašimi talenty.",Vous pouvez facilement entrer happé par le mouvement et perdre la notion du temps lorsque vous faites des choses en accord avec vos talents.,,,,dict.talents.concentrated.positives.6,,,You can easily get into the flow and lose track of time when you do things that are aligned with your talents.,,,,
,,Things need to have proper structure in order for you to be comfortable in your life.,"V?ci musí mít sv?j ?ád, abyste byli ve svém život? spokojení.",Les choses doivent ętre ŕ leur place afin que vous vous sentiez bien dans votre vie.,,,,dict.talents.loverOfOrder.positives.1,,,Things need to have proper structure in order for you to be comfortable in your life.,,,,
,,On the other hand it's difficult for you to be in an environment where things are not in order.,"Na druhé stran? je pro Vás obtížné být v prost?edí, kde v?ci nejsou v po?ádku.",D'un autre côté il est difficile pour vous d'ętre dans un milieu en désordre.,,,,dict.talents.loverOfOrder.positives.2,,,On the other hand it's difficult for you to be in an environment where things are not in order.,,,,
,,You like deadlines and setting up processes.,Máte rádi termíny a nastavování proces?.,Vous aimez les dates buttoirs et la mise en place de protocoles.,,,,dict.talents.loverOfOrder.positives.3,,,You like deadlines and setting up processes.,,,,
,,Everything should be according to plan.,Všechno by m?lo být podle plánu.,Tout doit avoir lieu comme prévu.,,,,dict.talents.loverOfOrder.positives.4,,,Everything should be according to plan.,,,,
,,You don't like surprises.,Nemáte rádi p?ekvapení.,Vous n'aimez pas les surprises.,,,,dict.talents.loverOfOrder.positives.5,,,You don't like surprises.,,,,
,,You are detail oriented.,Jste orientovaní na detaily.,Vous avez le sens du détail.,,,,dict.talents.loverOfOrder.positives.6,,,You are detail oriented.,,,,
,,You love to learn new things and enhance your knowledge.,Rádi se u?íte nové v?ci a zlepšujete své znalosti.,Vous aimez apprendre de nouvelles choses et améliorer vos connaissances.,,,,dict.talents.selfDeveloper.positives.1,,,You love to learn new things and enhance your knowledge.,,,,
,,You are open to new challenges because they push you to explore new areas.,"Jste otev?eni novým výzvám, protože Vás nutí k prozkoumání nových oblastí.",Vous ętes ouvert ŕ de nouveaux défis car cela vous oblige ŕ explorer de nouveaux domaines.,,,,dict.talents.selfDeveloper.positives.2,,,You are open to new challenges because they push you to explore new areas.,,,,
,,Being around people who know it all is not the most desirable thing you can imagine.,"Být obklopeni lidmi, kte?í jsou všeho znalí, není tím nejúchvatn?jším, co si dokážete p?edstavit.",Ętre entouré de gens qui savent tout n'est pas la chose la plus attirante que vous puissiez imaginer.,,,,dict.talents.selfDeveloper.positives.3,,,Being around people who know it all is not the most desirable thing you can imagine.,,,,
,,You are thrilled more by the process of learning than the actual outcome.,Jste nadšeni procesem u?ení více než skute?ným výsledkem.,Vous ętes animé par le processus d'apprentissage plutôt que par le résultat en lui-męme.,,,,dict.talents.selfDeveloper.positives.4,,,You are thrilled more by the process of learning than the actual outcome.,,,,
,,"You don't necessarily have to become an expert, yet having a solid knowledge of the matter at hand can be satisfying for you.","Nemusíte se nutn? stát odborníkem v ur?itém oboru, n?kdy sta?í jeho solidní znalost, abyste byli spokojeni.","Vous n'avez pas nécessairement ŕ devenir un expert, il vous suffit parfois d'avoir des connaissances solides afin d'ętre satisfait.",,,,dict.talents.selfDeveloper.positives.5,,,"You don't necessarily have to become an expert, yet having a solid knowledge of the matter at hand can be satisfying for you.",,,,
,,"Pushing yourself towards gaining knowledge motivates you, regardless of whether it's about improvement of skills or learning new things.","Proces získávání znalostí Vás motivuje bez ohledu na to, zda jde o zlepšení dovedností nebo u?ení- se novým v?cem.","Le processus d'obtention de nouvelles connaissances vous motive, qu'il s'agisse d'améliorer vos compétences ou l'apprentissage de nouvelles choses.",,,,dict.talents.selfDeveloper.positives.6,,,"Pushing yourself towards gaining knowledge motivates you, regardless of whether it's about improvement of skills or learning new things.",,,,
,,"Even in difficult times, you are easily able to remind yourself of brighter moments of your life.",I v t?žkých dobách si m?žete snadno p?ipomenout p?íjemn?jší okamžiky svého života.,"Męme dans les moments difficiles, vous pouvez facilement vous souvenir de moments plus agréables de votre vie.",,,,dict.talents.positive.positives.1,,,"Even in difficult times, you are easily able to remind yourself of brighter moments of your life.",,,,
,,"You like to give praise about people's good points, and they like you for this.",Rádi chválíte jiné lidi a ti Vás za to mohou mít rádi.,Vous aimez faire des éloges sur les autres et ils vous apprécient pour cela.,,,,dict.talents.positive.positives.2,,,"You like to give praise about people's good points, and they like you for this.",,,,
,,You are happy about what you have.,"Jste š?astní za to, co máte.",Vous ętes heureux de ce que vous avez.,,,,dict.talents.positive.positives.3,,,You are happy about what you have.,,,,
,,It's difficult for negative people to drag you down.,Pro negativní lidi je t?žké Vás stáhnout dol?.,Il est difficile de vous déstabiliser pour les personnes négatives.,,,,dict.talents.positive.positives.4,,,It's difficult for negative people to drag you down.,,,,
,,People like being influenced by your enthusiasm and being around you.,Lidé okolo Vás jsou rádi ovlivn?ni Vaším nadšením.,Les gens autour de vous sont heureux d'ętre influencés par votre enthousiasme.,,,,dict.talents.positive.positives.5,,,People like being influenced by your enthusiasm and being around you.,,,,
,,"You accept things can go wrong, but your positivity won't let you get too down.","Víte, že se n?které v?ci mohou pokazit. Když se to stane, tak se tím ale nenecháte p?íliš negativn? ovlivnit.",Vous acceptez que certaines choses puissent mal tourner mais votre positivité ne vous laissera pas vous écrouler.,,,,dict.talents.positive.positives.6,,,"You accept things can go wrong, but your positivity won't let you get too down.",,,,
,,"Once people get to know you and know your values, you gain their trust and people know they can rely on you.","Jakmile Vás lidé poznají a poznají Vaše hodnoty, získáte jejich d?v?ru a oni zjistí, že se na Vás mohou spolehnout","Une fois que les gens apprennent ŕ vous connaître et connaissent vos valeurs, vous obtenez leur confiance et ils savent qu'ils peuvent compter sur vous.",,,,,Performed,Found,"Once people get to know you and know your values, you gain their trust and people know they can rely on you.","Once pepole get to know you and know your values, you gain their trust and people know they can rely on you.",0.9651162790697675,dict.talents.responsible.positives.1,dict.talents.responsible.positives.1
,,"You don't accept every request, you know some of them may be difficult to fulfill and you don't want to disappoint people.","Dvakrát si rozmyslíte, než se zavážete k n?jakému závazku, protože víte, že ne všechno se dá splnit a Vy nechcete lidi zklamat.","Vous n'acceptez pas toutes les sollicitations, vous savez que certaines peuvent ętre difficile ŕ réaliser et vous ne voulez pas décevoir les gens.",,,,dict.talents.responsible.positives.2,,,"You don't accept every request, you know some of them may be difficult to fulfill and you don't want to disappoint people.",,,,
,,"You can't stand it when promises get broken. ","Nem?žete jednoduše akceptovat, když se nesplní sliby.",Vous ne supportez pas quand les promesses ne sont pas tenues.,,,,,Performed,Found,"You can't stand it when promises get broken. ",You can't stand it when promises get broken.,1,dict.talents.responsible.positives.3,dict.talents.responsible.positives.3
,,You follow through on your commitments and you are happy if it leads to building trust.,"Dbáte o dodržování svých závazk? a jste š?astní, pokud to vede k budování d?v?ry.",Vous suivez vos engagements et vous ętes heureux si grâce ŕ cela vous établissez une relation de confiance.,,,,dict.talents.responsible.positives.4,,,You follow through on your commitments and you are happy if it leads to building trust.,,,,
,,Avoidance of excuses is something that characterizes you.,"Vyhýbání se výmluvám je n?co, co vás charakterizuje.",Éviter les excuses est quelque chose qui vous caractérise.,,,,dict.talents.responsible.positives.5,,,Avoidance of excuses is something that characterizes you.,,,,
,,"You hate to deliver unfinished work, your good name depends on it.","Nesnete odevzdávat nedokon?enou práci, protože víte, že na tom závisí Vaše dobré jméno. ","Vous détestez rendre un travail inachevé, votre réputation en dépend.",,,,,Performed,Found,"You hate to deliver unfinished work, your good name depends on it.","You hate to deliver unfished work, your good name depends on it.",0.9811320754716981,dict.talents.responsible.positives.6,dict.talents.responsible.positives.6
,,"You don't need others to boost your confidence, through reflection you can do it on your own.","Nepot?ebujete jiné lidi, abyste si zvýšili svou sebed?v?ru. Díky sebereflexi to zvládnete sami.","Vous n'avez pas besoin des autres pour augmenter votre confiance en vous, grâce ŕ votre autoréflexion, vous pouvez le faire par vous-męme.",,,,dict.talents.selfBeliever.positives.1,,,"You don't need others to boost your confidence, through reflection you can do it on your own.",,,,
,,People admire you for your self-assurance.,Lidé Vás obdivují pro Vaše sebev?domí.,Les gens vous admirent pour votre assurance.,,,,dict.talents.selfBeliever.positives.2,,,People admire you for your self-assurance.,,,,
,,You are an independent and self-supportive person.,"Jste nezávislým ?lov?kem a sami se dokážete podpo?it. ",Vous ętes une personne indépendante et autonome.,,,,dict.talents.selfBeliever.positives.3,,,You are an independent and self-supportive person.,,,,
